cells,celltype
SM.GE67U.Q_S179_E1.50,MP
SM.GE67U.Q_S180_E1.50,K
SM.GE67U.Q_S181_E1.50,MP
SM.GE67U.Q_S182_E1.50,MP
SM.GE67U.Q_S183_E1.50,MP
SM.GE67U.Q_S184_E1.50,K
SM.GE67U.Q_S185_E1.50,MP
SM.GE67U.Q_S186_E1.50,MP
SM.GE67U.Q_S187_E1.50,MP
SM.GE67U.Q_S188_E1.50,MP
SM.GE67U.Q_S189_E1.50,MP
SM.GE67U.Q_S190_E1.50,GABA2
SM.GE67U.Q_S191_E1.50,GABA2
SM.GE67U.Q_S192_E1.50,MP
SM.GE91M_S049_E1.50,MP
SM.GE91M_S050_E1.50,MP
SM.GE91M_S051_E1.50,MP
SM.GE91M_S052_E1.50,GABA2
SM.GE91M_S053_E1.50,GABA2
SM.GE91M_S054_E1.50,MP
SM.GE91M_S055_E1.50,GABA2
SM.GE91M_S056_E1.50,MP
SM.GE91M_S057_E1.50,MP
SM.GE91M_S058_E1.50,K
SM.GE91M_S059_E1.50,GABA2
SM.GE91M_S060_E1.50,MP
SM.GE91M_S061_E1.50,GABA2
SM.GE91M_S062_E1.50,GABA2
SM.GE91M_S063_E1.50,GABA2
SM.GE91M_S064_E1.50,MP
SM.GE91M_S073_E1.50,MP
SM.GE91M_S074_E1.50,MP
SM.GE91M_S075_E1.50,MP
SM.GE91M_S076_E1.50,MP
SM.GE91M_S077_E1.50,GABA1
SM.GE91M_S078_E1.50,MP
SM.GE91M_S079_E1.50,K
SM.GE91M_S080_E1.50,MP
SM.GE91M_S081_E1.50,MP
SM.GE91M_S082_E1.50,MP
SM.GE91M_S083_E1.50,MP
SM.GE91M_S084_E1.50,K
SM.GE91M_S085_E1.50,MP
SM.GE91M_S086_E1.50,MP
SM.GE91M_S087_E1.50,GABA2
SM.GE91M_S088_E1.50,K
SM.GE91M_S089_E1.50,MP
SM.GE91M_S090_E1.50,K
SM.GE91M_S091_E1.50,MP
SM.GE91M_S092_E1.50,MP
SM.GE91M_S093_E1.50,K
SM.GE91M_S094_E1.50,MP
SM.GE91M_S095_E1.50,MP
SM.GE91M_S096_E1.50,MP
SM.GE67A_S121_E1.50,MP
SM.GE67A_S122_E1.50,K
SM.GE67A_S123_E1.50,GABA2
SM.GE67A_S124_E1.50,MP
SM.GE67A_S125_E1.50,K
SM.GE67A_S126_E1.50,GABA2
SM.GE67A_S127_E1.50,MP
SM.GE67A_S128_E1.50,GABA2
SM.GE67A_S129_E1.50,MP
SM.GE67A_S130_E1.50,MP
SM.GE67A_S131_E1.50,K
SM.GE67A_S132_E1.50,MP
SM.GE67A_S133_E1.50,K
SM.GE67A_S134_E1.50,K
SM.GE67A_S136_E1.50,MP
SM.GE67A_S137_E1.50,MP
SM.GE67A_S138_E1.50,MP
SM.GE67A_S139_E1.50,GABA2
SM.GE67A_S140_E1.50,GABA2
SM.GE67A_S141_E1.50,MP
SM.GE67A_S146_E1.50,K
SM.GE67A_S147_E1.50,MP
SM.GE67A_S148_E1.50,MP
SM.GE67A_S150_E1.50,K
SM.GE67A_S151_E1.50,K
SM.GE67A_S152_E1.50,MP
SM.GE67A_S154_E1.50,K
SM.GE67A_S155_E1.50,MP
SM.GE67A_S157_E1.50,K
SM.GE67A_S158_E1.50,K
SM.GE67A_S159_E1.50,MP
SM.GE67A_S160_E1.50,K
SM.GE67A_S161_E1.50,MP
SM.GE67A_S162_E1.50,MP
SM.GE67A_S163_E1.50,MP
SM.GE67A_S164_E1.50,K
SM.GE67A_S165_E1.50,GABA2
SM.GE67A_S167_E1.50,MP
SM.GE67A_S168_E1.50,MP
SM.GE67A_S169_E1.50,MP
SM.GE67A_S170_E1.50,MP
SM.GE67A_S171_E1.50,MP
SM.GE67A_S172_E1.50,MP
SM.GE67A_S173_E1.50,MP
SM.GE67A_S174_E1.50,GABA2
SM.GE67A_S175_E1.50,MP
SM.GE67A_S176_E1.50,MP
SM.GE67A_S177_E1.50,MP
SM.GE67A_S180_E1.50,MP
SM.GE67A_S181_E1.50,MP
SM.GE67A_S183_E1.50,MP
SM.GE67A_S184_E1.50,K
SM.GE67A_S185_E1.50,K
SM.GE67A_S186_E1.50,MP
SM.GE67A_S187_E1.50,MP
SM.GE67A_S188_E1.50,MP
SM.GE67A_S189_E1.50,MP
SM.GE67A_S191_E1.50,MP
SM.GE67A_S192_E1.50,MP
SM.GE67B_S026_E1.50,K
SM.GE67B_S027_E1.50,K
SM.GE67B_S028_E1.50,MP
SM.GE67B_S029_E1.50,GABA2
SM.GE67B_S030_E1.50,MP
SM.GE67B_S031_E1.50,MP
SM.GE67B_S034_E1.50,GABA2
SM.GE67B_S035_E1.50,MP
SM.GE67B_S036_E1.50,MP
SM.GE67B_S037_E1.50,K
SM.GE67B_S038_E1.50,MP
SM.GE67B_S039_E1.50,K
SM.GE67B_S040_E1.50,MP
SM.GE67B_S041_E1.50,K
SM.GE67B_S042_E1.50,MP
SM.GE67B_S043_E1.50,MP
SM.GE67B_S044_E1.50,K
SM.GE67B_S045_E1.50,GABA2
SM.GE67B_S046_E1.50,GABA2
SM.GE67B_S047_E1.50,MP
SM.GE67B_S048_E1.50,K
SM.GE67B_S049_E1.50,MP
SM.GE67B_S050_E1.50,MP
SM.GE67B_S051_E1.50,MP
SM.GE67B_S052_E1.50,MP
SM.GE67B_S053_E1.50,MP
SM.GE67B_S055_E1.50,GABA2
SM.GE67B_S056_E1.50,MP
SM.GE67B_S057_E1.50,MP
SM.GE67B_S058_E1.50,MP
SM.GE67B_S059_E1.50,MP
SM.GE67B_S060_E1.50,K
SM.GE67B_S061_E1.50,MP
SM.GE67B_S062_E1.50,MP
SM.GE67B_S064_E1.50,MP
SM.GE67B_S065_E1.50,GABA2
SM.GE67B_S066_E1.50,MP
SM.GE67B_S067_E1.50,MP
SM.GE67B_S068_E1.50,K
SM.GE67B_S069_E1.50,MP
SM.GE67B_S070_E1.50,K
SM.GE67B_S071_E1.50,K
SM.GE67B_S072_E1.50,MP
SM.GE67B_S073_E1.50,GABA2
SM.GE67B_S074_E1.50,MP
SM.GE67B_S075_E1.50,MP
SM.GE67B_S076_E1.50,MP
SM.GE67B_S077_E1.50,MP
SM.GE67B_S079_E1.50,GABA2
SM.GE67B_S080_E1.50,MP
SM.GE67B_S081_E1.50,MP
SM.GE67B_S082_E1.50,MP
SM.GE67B_S083_E1.50,MP
SM.GE67B_S084_E1.50,MP
SM.GE67B_S085_E1.50,MP
SM.GE67B_S086_E1.50,MP
SM.GE67B_S087_E1.50,MP
SM.GE67B_S088_E1.50,MP
SM.GE67B_S089_E1.50,MP
SM.GE67B_S090_E1.50,MP
SM.GE67B_S091_E1.50,K
SM.GE67B_S093_E1.50,MP
SM.GE67B_S094_E1.50,MP
SM.GE67B_S095_E1.50,MP
SM.GE67B_S096_E1.50,MP
SM.GE67B_S105_E1.50,K
SM.GE67B_S106_E1.50,GABA2
SM.GE67B_S107_E1.50,MP
SM.GE67B_S108_E1.50,MP
SM.GE67B_S109_E1.50,K
SM.GE67B_S110_E1.50,MP
SM.GE67B_S111_E1.50,MP
SM.GE67B_S112_E1.50,MP
SM.GE67B_S113_E1.50,K
SM.GE67B_S115_E1.50,K
SM.GE67B_S116_E1.50,MP
SM.GE67B_S117_E1.50,MP
SM.GE67B_S118_E1.50,K
SM.GE67B_S119_E1.50,MP
SM.GE67B_S120_E1.50,GABA2
SM.GE67B_S131_E1.50,MP
SM.GE67B_S132_E1.50,MP
SM.GE67B_S134_E1.50,MP
SM.GE67B_S135_E1.50,MP
SM.GE67B_S136_E1.50,MP
SM.GE67B_S138_E1.50,MP
SM.GE67B_S139_E1.50,MP
SM.GE67B_S140_E1.50,MP
SM.GE67B_S141_E1.50,MP
SM.GE67B_S142_E1.50,MP
SM.GE67B_S143_E1.50,MP
SM.GE67B_S144_E1.50,MP
SM.GE67F_S001_E1.50,MP
SM.GE67F_S002_E1.50,K
SM.GE67F_S004_E1.50,MP
SM.GE67F_S007_E1.50,MP
SM.GE67F_S008_E1.50,K
SM.GE67F_S010_E1.50,MP
SM.GE67F_S011_E1.50,MP
SM.GE67F_S012_E1.50,MP
SM.GE67F_S013_E1.50,MP
SM.GE67F_S014_E1.50,MP
SM.GE67F_S015_E1.50,K
SM.GE67F_S017_E1.50,K
SM.GE67F_S018_E1.50,MP
SM.GE67F_S019_E1.50,K
SM.GE67F_S020_E1.50,MP
SM.GE67F_S021_E1.50,K
SM.GE67F_S022_E1.50,MP
SM.GE67F_S023_E1.50,K
SM.GE67F_S024_E1.50,MP
SM.GE67F_S097_E1.50,MP
SM.GE67F_S098_E1.50,K
SM.GE67F_S099_E1.50,GABA2
SM.GE67F_S100_E1.50,GABA2
SM.GE67F_S101_E1.50,MP
SM.GE67F_S104_E1.50,K
SM.GE67F_S105_E1.50,MP
SM.GE67F_S106_E1.50,MP
SM.GE67F_S107_E1.50,K
SM.GE67F_S108_E1.50,MP
SM.GE67F_S109_E1.50,K
SM.GE67F_S110_E1.50,MP
SM.GE67F_S111_E1.50,GABA2
SM.GE67F_S114_E1.50,MP
SM.GE67F_S116_E1.50,K
SM.GE67F_S117_E1.50,K
SM.GE67F_S118_E1.50,K
SM.GE67F_S119_E1.50,K
SM.GE67F_S120_E1.50,MP
