cells,celltype
SM.D9EOQ_S62_E1.50,K
SM.D9EOQ_S63_E1.50,K
SM.D9EOQ_S65_E1.50,K
SM.D9EOQ_S66_E1.50,K
SM.D9EOQ_S67_E1.50,K
SM.D9EOQ_S68_E1.50,K
SM.D9EOQ_S70_E1.50,K
SM.D9EOQ_S71_E1.50,MP
SM.D9EOQ_S73_E1.50,K
SM.D9EOQ_S74_E1.50,K
SM.D9EOQ_S75_E1.50,K
SM.D9EOQ_S77_E1.50,K
SM.D9EOQ_S78_E1.50,K
SM.D9EOQ_S79_E1.50,K
SM.D9EOQ_S81_E1.50,K
SM.D9EOQ_S83_E1.50,MP
SM.D9EOQ_S84_E1.50,MP
SM.D9EOQ_S85_E1.50,K
SM.D9EOQ_S86_E1.50,K
SM.D9EOQ_S87_E1.50,K
SM.D9EOR_S41_E1.50,MP
SM.D9EOR_S42_E1.50,GABA2
SM.D9EOR_S44_E1.50,MP
SM.D9EOR_S45_E1.50,MP
SM.D9EOR_S47_E1.50,MP
SM.D9EOR_S49_E1.50,MP
SM.D9EOR_S51_E1.50,MP
SM.D9EOR_S52_E1.50,MP
SM.D9EOR_S53_E1.50,MP
SM.D9EOR_S55_E1.50,MP
SM.D9EOR_S57_E1.50,MP
SM.D9EOR_S58_E1.50,MP
SM.D9EOR_S59_E1.50,MP
SM.D9EOR_S60_E1.50,MP
SM.D9EOR_S62_E1.50,MP
SM.D9EOR_S63_E1.50,MP
SM.D9EOR_S65_E1.50,K
SM.D9EOR_S67_E1.50,K
SM.D9EOR_S68_E1.50,K
SM.D9EOR_S69_E1.50,K
SM.D9EOR_S70_E1.50,GABA1
SM.D9EOR_S71_E1.50,K
SM.D9EOR_S73_E1.50,K
SM.D9EOR_S74_E1.50,K
SM.D9EOR_S75_E1.50,K
SM.D9EOR_S77_E1.50,K
SM.D9EOR_S78_E1.50,K
SM.D9EOR_S81_E1.50,MP
SM.D9EOR_S82_E1.50,K
SM.D9EOR_S83_E1.50,K
SM.D9EOR_S84_E1.50,MP
SM.D9EOR_S85_E1.50,K
SM.D9EOR_S86_E1.50,MP
SM.D9EOR_S87_E1.50,K
SM.D9EOR_S89_E1.50,K
SM.D9EOR_S90_E1.50,K
SM.D9EOR_S91_E1.50,K
SM.D9EOR_S93_E1.50,K
SM.D9EOR_S94_E1.50,K
SM.D9EOR_S95_E1.50,MP
SM.D9EOU_S25_E1.50,MP
SM.D9EOU_S26_E1.50,MP
SM.D9EOU_S27_E1.50,MP
SM.D9EOU_S28_E1.50,MP
